TS,IT,IH,OT,OH,HP
1,18.6500,46.7500,-3.3667,95.6000,44.9125
2,18.8667,46.5500,-3.4444,95.8000,44.5375
3,18.9444,46.3300,-3.4889,95.9000,41.5125
4,18.6389,46.2300,-3.5389,96.0000,41.5438
5,18.6167,46.2100,-3.7278,95.8000,41.3563
6,18.7944,46.1200,-3.7222,96.3000,40.5563
7,18.9167,46.0000,-3.7778,96.3000,31.5263
8,18.6111,45.9800,-3.7944,96.6000,31.4950
9,18.7333,45.9700,-3.8889,96.7000,31.6200
10,18.8333,45.8900,-3.9222,96.8000,31.6700
11,18.6389,45.8500,-4.0556,96.7000,31.6375
12,18.5278,45.7600,-4.0333,96.9000,31.6688
13,18.5167,45.6800,-4.1722,96.8000,31.5125
14,18.7000,45.4900,-4.2833,96.9000,31.4375
15,18.7222,45.3200,-4.3833,97.1000,27.3125
16,18.6111,45.2600,-4.4889,97.0000,27.2813
17,18.6167,45.1600,-4.5333,97.3000,27.2813
18,18.7278,44.9900,-4.7000,97.2000,27.0063
19,18.7167,44.9400,-4.8389,97.3000,26.9763
20,18.6667,44.8700,-5.0000,97.3000,27.0075
21,18.6556,44.7800,-5.1056,97.3000,27.1325
22,18.6889,44.6600,-5.2167,97.3000,28.9075
23,18.5833,44.5900,-5.3278,97.1000,29.3450
24,18.5611,44.5300,-5.5278,97.0000,29.3450
25,18.4944,44.4600,-5.6111,97.0000,29.4388
26,18.6333,44.2800,-5.5833,97.3000,29.4638
27,18.5333,44.1200,-5.6889,97.1000,33.9938
28,18.4778,44.0400,-5.7278,97.1000,33.9938
29,18.4333,43.9300,-5.7889,96.9000,33.9313
30,18.5722,43.8000,-5.8722,96.7000,33.8563
31,18.5889,43.7300,-5.9278,96.6000,37.7638
32,18.5111,43.6900,-6.0667,96.5000,37.7325
33,18.5222,43.6000,-6.1333,96.5000,37.7325
34,18.5667,43.5600,-6.1722,96.7000,37.1575
35,18.6611,43.9100,-6.1167,96.8000,41.5625
36,18.5944,44.0500,-6.0000,97.0000,41.5938
37,18.6056,44.1400,-5.8500,96.7000,41.5000
38,18.7000,44.0300,-5.8444,96.1000,41.4750
39,18.7056,43.9300,-5.6556,95.9000,32.7575
40,18.3722,43.9900,-5.2667,95.5000,32.7263
41,18.4111,44.1300,-4.8944,94.8000,32.8513
42,18.5333,44.0100,-4.4056,94.5000,32.7763
43,18.5778,43.8900,-3.7556,93.6000,28.4313
44,18.4333,43.8300,-3.2222,92.4000,28.4625
45,18.4556,43.8000,-2.8833,92.8000,28.4938
46,18.7056,43.6900,-1.5833,91.9000,28.8188
47,18.6889,43.7700,-0.6444,88.4000,29.0063
48,18.5944,43.7700,-0.1111,85.4000,28.9750
49,18.6333,43.7900,0.3944,81.8000,28.9125
50,18.8444,43.7400,0.9611,79.0200,29.6625
51,18.9222,43.8000,2.5944,71.5000,29.7575
52,18.8333,43.8800,3.4333,66.5700,29.7888
53,18.8667,43.9900,4.1500,63.0800,29.9138
54,19.2444,44.0800,5.3722,58.6400,29.8138
55,19.0111,44.5400,5.7722,57.8700,29.8438
56,19.0556,44.5500,6.1556,53.2900,29.8125
57,19.1667,44.8300,6.6722,52.3600,29.8750
58,19.6722,44.5900,7.0778,52.5900,30.2250
59,19.5056,44.8700,7.7167,49.6400,30.2575
60,19.3389,44.8900,7.5556,50.0400,30.2575
61,19.3722,45.2000,8.2111,47.8400,30.2263
62,19.8778,45.1100,8.2278,46.7000,29.8513
63,19.8833,45.3300,8.2944,46.6300,34.2888
64,19.8500,45.3800,8.5944,46.0000,34.3200
65,19.8500,45.7000,8.1833,47.4500,34.3200
66,20.2111,45.7300,7.7333,49.5800,34.6200
67,20.1944,45.8100,7.6444,49.8800,34.6825
68,19.9111,45.9300,7.7222,49.4700,34.6825
69,19.7444,46.1100,7.6500,49.6400,34.6200
70,19.8056,46.1600,7.7556,49.2800,33.7950
71,19.5444,46.2900,7.6389,48.9600,42.1700
72,19.1111,46.3300,7.4944,49.6600,42.1388
73,18.9944,46.4100,7.0500,52.2500,41.9513
74,19.1778,47.1400,6.2389,57.2000,41.7513
75,19.1722,47.8600,5.0000,63.9500,45.6063
76,18.8500,47.5800,3.8778,69.1900,49.4500
77,19.0056,47.3500,2.9667,74.3100,49.6063
78,19.0333,47.2300,2.0833,78.2400,49.9313
79,19.1611,47.2100,1.3889,81.3000,49.8313
80,18.9444,47.2300,0.9167,82.7000,54.1763
81,18.9111,47.2200,0.4167,84.3000,54.2075
82,18.9444,47.1500,-0.0222,85.0000,54.0825
83,19.1000,47.0800,-0.3778,85.9000,53.8575
84,18.9889,47.1000,-0.7056,87.3000,58.2325
85,18.8167,47.1300,-0.9389,88.2000,58.0763
86,19.0500,46.9800,-1.1611,89.4000,58.1513
87,18.9833,47.3400,-1.3500,90.5000,58.0263
88,18.8722,47.4800,-1.4056,90.8000,57.9938
89,18.7000,47.4000,-1.6500,90.9000,57.9625
90,19.0111,47.6000,-1.7500,92.2000,57.9625
91,19.1167,48.3300,-1.8111,92.7000,58.4375
92,18.7278,48.7200,-1.8500,92.8000,58.7200
93,18.5778,48.1200,-1.8222,93.0000,58.7825
94,18.9167,47.7600,-1.7833,93.0000,59.3575
95,19.0611,47.5900,-1.7778,93.0000,59.1325
96,18.8333,47.3700,-1.7611,93.3000,46.3500
1,18.7111,47.2100,-1.8333,93.3000,46.5063
2,18.8722,47.0400,-1.8278,93.7000,45.9813
3,18.8722,46.8200,-1.8333,94.0000,42.3888
4,18.7000,46.7300,-1.8056,94.1000,42.3575
5,18.7000,46.6900,-1.7833,94.2000,42.0763
6,18.8889,46.7000,-1.7500,94.5000,40.8763
7,18.8667,46.5500,-1.6833,94.7000,31.7513
8,18.6778,46.5600,-1.5500,94.7000,31.7513
9,18.7000,46.5200,-1.4444,94.4000,31.9075
10,18.8556,46.5700,-1.3389,94.6000,32.2825
11,18.7000,46.4700,-0.9444,94.4000,32.3750
12,18.7000,46.4100,-0.5056,93.3000,32.3750
13,18.7111,46.3500,-0.1500,92.3000,32.2500
14,18.8667,46.3200,0.1000,91.2000,32.2750
15,18.7222,46.1900,0.3389,91.1000,28.1200
16,18.6889,46.1400,0.4889,90.8000,28.1513
17,18.7111,46.1300,0.6389,90.4000,28.1200
18,18.9278,46.1400,0.8500,90.1000,28.0700
19,18.7389,46.1500,1.0278,90.0000,28.0375
20,18.6833,46.1200,1.0889,90.2000,28.0063
21,18.6944,46.1500,1.2500,90.6000,28.1625
22,18.8722,46.2300,1.4333,91.2000,29.8125
23,18.7278,46.3100,1.5667,92.0000,30.1575
24,18.6889,46.2900,1.5833,92.4000,30.1888
25,18.6389,46.3900,1.8222,92.2000,30.2825
26,18.8111,46.3500,2.0500,92.4000,30.1325
27,18.6167,46.3900,2.0556,93.5000,34.6325
28,18.6389,46.4100,2.0889,94.6000,34.6325
